drug_name	ATC_3
benzilone	A03A
galsulfase	A16A
lysozyme	J05A
thiamphenicol	J01B
phenylephrine	S01F
clobetasone	S01C
antiinfectives	S01C
fluorouracil	L01B
clenbuterol	R03C
ambroxol	R03C
oxycodone	N02A
naloxone	N02A
ornidazole	J01X
alteplase	S01X
bisoprolol	C07A
triheptanoin	A16A
camylofin	A03A
polynoxylin	A01A
orciprenaline	R03C
chlorzoxazone with psycholeptics	M03B
ethambutol	J04A
isoniazid	J04A
various other intestinal adsorbents in ATC	M02A
anidulafungin	J02A
argatroban	B01A
methohexital	N01A
piromidic acid	J01M
stavudine	J05A
nevirapine	J05A
methantheline	A03A
rimonabant	A08A
benazepril	C09B
diuretics	C09B
retifanlimab	L01F
desogestrel	G03A
diphtheria-pertussis-poliomyelitis-tetanus-hepatitis B	J07C
clofedanol	R05D
dimetotiazine	N02C
amoxicillin	J01C
tegoprazan	A02B
mosapramine	N05A
propanidid	N01A
undecylenic acid	D01A
aceclidine	S01E
etoperidone	N06A
quinine with psycholeptics	M09A
interferon alfacon-1	L03A
tildrakizumab	L04A
tidiacic arginine	A05B
moxifloxacin	J01M
ethenzamide excl. psycholeptics	N02B
ethosuximide	N03A
ramelteon	N05C
amifostine	V03A
silver compounds	S01A
deslanoside	C01A
paracetamol	N02B
flucloxacillin	J01C
bulevirtide	J05A
metopimazine	A04A
diphenhydramine methylbromide	D04A
tetanus immunoglobulin	J06B
morinamide	J04A
diprophylline	R03D
homatropine methylbromide	A03B
ordinary salt combinations	A02A
antiflatulents	A02A
nitroxoline	J01X
simeprevir	J05A
fluorometholone	S01C
chlorhexidine	D08A
bevantolol	C07B
thiazides	C07B
tramadol	N02A
paracetamol	N02A
loperamide	A07D
latamoxef	J01D
rota virus attenuated	J07B
bromisoval	N05C
acadesine	C01E
proscillaridin	C01A
alirocumab	C10A
zipeprol	R05D
stavudine	J05A
rabeprazole	A02B
metronidazole	A02B
mepartricin	A01A
rimexolone	S01B
mosapride	A03F
"papillomavirus (human types 16, 18)"	J07B
cenegermin	S01X
fluspirilene	N05A
pirenzepine	A02B
riluzole	N07X
isothipendyl	R06A
influenza attenuated	J07B
phenothrin	P03A
hyaluronidase	B06A
lansoprazole	A02B
emtricitabine alafenamide	J05A
cobicistat	J05A
textile allergenic extracts	V01A
ketobemidone	N02A
lymecycline	J01A
levobupivacaine	N01B
celecoxib	L01X
multienzymes	A09A
acid preparations	A09A
artesunate	P01B
pyrimethamine	P01B
hepatitis B antigen	J07B
istradefylline	N04C
alprazolam	N05B
benorilate	N02B
omidenepag	S01E
etidocaine	N01B
arginine glutamate	A05B
cefotaxime	J01D
fosfonet	J05A
lascufloxacin	J01M
dienogest	G03A
ethinylestradiol	G03A
acetic acid	S02A
estradiol	G03C
xenon	N01A
azelaic acid	D10A
ingenol mebutate	D06B
cenobamate	N03A
zoster antigen	J07B
triptorelin	L02A
cascara	A06A
vosaroxin	L01X
cefaloridine	J01D
atropine	A03C
psycholeptics	A03C
methocarbamol excl. psycholeptics	M03B
pertussis immunoglobulin	J06B
carbamazepine	N03A
iopromide	V08A
peginterferon alfa-2b	L03A
bisacodyl	A06A
iron	B03A
multivitamins	B03A
nifurtoinol	J01X
butorphanol	N02A
tulobuterol	R03C
cardioplegia solutions	B05X
nepinalone	R05D
alitretinoin	D11A
ferrous aspartate	B03A
"meningococcus A,C purified polysaccharides antigen"	J07A
retinol	S01X
streptomycin	A07A
edrecolomab	L01F
penamecillin	J01C
phthalylsulfathiazole	A07A
meprobamate	N05B
isoprenaline	R03C
sulfamazone	J01E
dixanthogen	P03A
fluoride	A12C
rhenium (186Re) etidronic acid	V10B
fenoverine	A03A
spironolactone	C03D
follitropin delta	G03G
travoprost	S01E
protionamide	J04A
axitinib	L01E
biotin	A11H
heparin	B01A
moroxydine	J05A
estramustine	L01X
nystatin	G01A
tranexamic acid	B02A
roxadustat	B03X
diclofenac	D11A
technetium (99mTc) antimelanoma antibody	V09I
oxyphenbutazone	S01B
omadacycline	J01A
tamsulosin	G04C
tadalafil	G04C
cinnarizine	N07C
rosuvastatin	C10B
fimasartan	C10B
ulobetasol	D07A
etifoxine	N05B
reserpine	C02L
diuretics with other drugs	C02L
tofacitinib	L04A
theodrenaline	C01C
cefatrizine	J01D
phenindione	B01A
nicotinyl methylamide	A05A
dexamethasone	S01C
antiinfectives	S01C
budipine	N04B
talampicillin	J01C
dronabinol	A04A
nimorazole	P01A
linsidomine	C01D
cloperastine	R05D
naphazoline	S01G
belimumab	L04A
etallobarbital	N05C
aluminium glycinate	A02A
epinephrine	B02B
pamiparib	L01X
carglumic acid	A16A
trientine	A16A
carbenoxolone with psycholeptics	A02B
rosuvastatin	C10B
indapamide	C10B
sibutramine	A08A
mumps attenuated	J07B
bifonazole	D01A
diatrizoic acid	V08A
agalsidase alfa	A16A
fluorometholone	S01B
mydriatics	S01B
zinc sulfate	B05X
glycopyrronium bromide	A03A
beinaglutide	A10B
fluorometholone	D10A
norethandrolone	A14A
dolasetron	A04A
electrolytes with carbohydrates	B05B
latanoprostene bunod	S01E
perampanel	N03A
gentamicin	S01A
nelarabine	L01B
lumasiran	A16A
flucytosine	J02A
caroverine	A03A
heptabarbital	N05C
tetanus toxoid with diphtheria toxoid	J07A
melagatran	B01A
celiprolol	C07A
lidocaine	S02D
oxycodone	N02A
naltrexone	N02A
vorapaxar	B01A
somatrogon	H01A
diosmectite	A07B
doxylamine	R06A
aliskiren	C09X
etodolac	M01A
fotemustine	L01A
pipemidic acid	J01M
triamcinolone	A01A
alverine	A03A
hexobarbital	N01A
combinations of tetracyclines	J01A
clioquinol	P01A
aluminium hydroxide	A02A
miconazole	D01A
fostamatinib	B02B
phenol	N01B
candesartan	C09C
tafasitamab	L01F
rubella attenuated	J07B
ramipril	C09A
technetium (99mTc) sestamibi	V09G
zinc chloride	B05X
gestonorone	L02A
ceftizoxime	J01D
combinations of corticosteroids	D07X
zolmitriptan	N02C
rota virus	J07B
bisoprolol	C07B
thiazides	C07B
chlorquinaldol	G01A
saquinavir	J05A
difenoxin	A07D
moxisylyte	G04B
mannosulfan	L01A
feprazone	M01A
linezolid	J01X
chymotrypsin	S01K
magnesium carbonate	A06A
various antiinfectives	A01A
antiseptics for local oral treatment	A01A
measles with rubella attenuated	J07B
diclofenac	S01C
antiinfectives	S01C
metronidazole	A01A
loteprednol	S01B
butaperazine	N05A
bevonium	A03A
carteolol	C07A
lamivudine	J05A
dolutegravir	J05A
fimasartan	C09D
amlodipine	C09D
hepatitis A virus	J07B
guanethidine	S01E
artenimol	P01B
piperaquine	P01B
lidocaine	N01B
quingestanol	G03A
typhoid attenuated	J07A
cyclothiazide	C03A
calcium citrate	A12A
acetazolamide	S01E
mirtazapine	N06A
methaqualone	N05C
rabeprazole	A02B
metabutethamine	N01B
naloxone	V03A
plague cell	J07A
oxetorone	N02C
carindacillin	J01C
articaine	N01B
interferon alfa-2a	L03A
sodium bicarbonate	B05C
pneumococcus purified polysaccharides antigen	J07A
haemophilus influenzae	J07A
smallpox vaccines	J07B
ecothiopate	S01E
flurbiprofen	M01A
ibalizumab	J05A
antithymocyte immunoglobulin (rabbit)	L04A
metformin	A10B
vildagliptin	A10B
calcium pantothenate	A11H
entrectinib	L01E
flurbiprofen	M02A
cilazapril	C09B
diuretics	C09B
varicella/zoster immunoglobulin	J06B
xibornol	J01X
sodium phosphate (32P)	V10X
sodium folinate	V03A
haemophilus influenzae B with pertussis	J07A
toxoids	J07A
metildigoxin	C01A
zinc compounds	S01A
tasimelteon	N05C
propanol	D08A
diacerein	M01A
iclaprim	J01E
butylscopolamine	A03B
nebacumab	J06B
cetuximab	L01F
acetoxolone	A02B
rutoside	C05C
buclizine	R06A
ticlopidine	B01A
potassium polysulfide	P03A
gemtuzumab ozogamicin	L01F
darolutamide	L02B
clometocillin	J01C
hachimycin	G01A
ethyl biscoumacetate	B01A
furazidin	J01X
sulfaguanidine	A07A
ranitidine	A02B
magnesium pidolate	A12C
tiocarlide	J04A
tositumomab/iodine (131I) tositumomab	V10X
aminohippuric acid	V04C
cefepime	J01R
amikacin	J01R
penimepicycline	J01A
narcobarbital	N01A
hymecromone	A05A
efloxate	C01D
metronidazole	P01A
luspatercept	B03X
aminomethylbenzoic acid	B02A
atorvastatin	C10B
perindopril	C10B
enoxolone	D03A
idanpramine	A03A
histapyrrodine	R06A
fluoroethyl-L-tyrosine (18F)	V09I
technetium (99mTc) pentavalent succimer	V09I
tafluprost	S01E
tyropanoic acid	V08A
methysergide	N02C
cefapirin	J01D
insulin lispro	A10A
sodium tartrate	A06A
flutemetamol (18F)	V09A
propofol	N01A
prednisone	A07E
agomelatine	N06A
coagulation factor VIIa	B02B
bisacodyl	A06A
alglucosidase alfa	A16A
aldesulfone sodium	J04B
givosiran	A16A
secnidazole	P01A
flumetasone	S02C
antiinfectives	S02C
histrelin	L02A
fenfluramine	N03A
aminophylline	R03D
diazoxide	C02D
alefacept	L04A
medroxyprogesterone	G03A
estradiol	G03A
sulbenicillin	J01C
nabilone	A04A
diphenylpyraline	R06A
lithium succinate	D11A
eptifibatide	B01A
adipiodone	V08A
capreomycin	J04A
benzylpenicillin	J01C
sulfametoxydiazine	J01E
measles immunoglobulin	J06B
grazoprevir	J05A
aluminium oxide	D10A
dantron. combinations	A06A
pravastatin	C10B
acetylsalicylic acid	C10B
bucetin excl. psycholeptics	N02B
artemisinin	P01B
terbutaline	R03C
nadroparin	B01A
factor VIII inhibitor bypassing activity	B02B
oxcarbazepine	N03A
heparin	C05B
capecitabine	L01B
iotrolan	V08A
palbociclib	L01E
methohexital	N05C
ferrous carbonate	B03A
amikacin	S01A
bufexamac	M02A
calcium citrate lysine complex	A12A
magnesium hydroxide	A02A
umifenovir	J05A
levocetirizine	R06A
lansoprazole	A02B
metronidazole	A02B
deoxycholic acid	D11A
methyclothiazide	C03A
lansoprazole	A02B
tinidazole	A02B
eprozinol	R03D
pralidoxime	V03A
fenspiride	R03B
fat emulsions	B05B
afelimomab	L04A
befunolol	S01E
diphtheria-pertussis-poliomyelitis-tetanus	J07C
belzutifan	L01X
levonorgestrel	G03A
ambenonium	N07A
meprobamate	N05C
metenolone	A14A
multivitamins	A11A
calcium	A11A
ramipril	C09B
amlodipine	C09B
lisdexamfetamine	N06B
urokinase	B01A
tocilizumab	L04A
enoxacin	J01M
fluorescein	S01J
lumateperone	N05A
interferon gamma	L03A
poldine	A03A
sulfamethizole	J01E
vestronidase alfa	A16A
iobitridol	V08A
metformin	A10B
sitagliptin	A10B
tiemonium iodide	A03A
tenofovir disoproxil	J05A
emtricitabine	J05A
galcanezumab	N02C
sirolimus	S01X
zofenopril	C09A
olaflur	A01A
sotalol	C07F
acetylsalicylic acid	C07F
trifluridine	S01A
oxyquinoline	A01A
dexamethasone	C05A
bietaserpine	C02A
etonogestrel	G03A
calcium gluconate	A12A
itraconazole	J02A
colistin	A07A
netarsudil	S01E
measles attenuated	J07B
c1-inhibitor derived	B06A
mebeverine	A03A
estriol	G03C
interferon beta-1b	L03A
nadifloxacin	D10A
gadobenic acid	V08C
ferrous gluconate	B03A
Imidazole	D01A
triazole derivative topical antifungal combinations	D01A
hydrocortisone	H02A
trolnitrate	C01D
glycopyrronium bromide	A03C
psycholeptics	A03C
sisomicin	J01G
insulin aspart	A10A
methylrosaniline	G01A
thrombocytes	B05A
dapiprazole	S01E
mepivacaine	N01B
zoledronic acid	M05B
colecalciferol	M05B
menadione	B02B
misoprostol	A02B
measles with mumps	J07B
varicella attenuated	J07B
other medicated shampoos in ATC	D11A
clotrimazole	A01A
alosetron	A03A
ethanol	V03A
sulbactam	J01C
metharbital	N03A
lisinopril	C09B
diuretics	C09B
insulin (beef)	A10A
metformin	A10B
rosiglitazone	A10B
saccharomyces boulardii	A07F
erythromycin	D10A
megestrol	G03A
inebilizumab	L04A
dextromethorphan	R05D
sipuleucel-T	L03A
methylpentynol	N05C
multivitamins	A11A
trace elements	A11A
pizotifen	N02C
esomeprazole	A02B
methiosulfonium chloride	A02B
demecarium	S01E
golodirsen	M09A
diclofenamide	S01E
brinase	B01A
interferon alfa-2b	L03A
ebola vaccines	J07B
mesna	V03A
tecovirimat	J05A
vonoprazan	A02B
clarithromycin	A02B
technetium (99mTc) rheniumsulfide colloid	V09D
pioglitazone	A10B
alogliptin	A10B
raxibacumab	J06B
methylatropine	A03B
clofoctol	J01X
ketotifen	S01G
ribavirin	J05A
metoprolol	C07B
thiazides	C07B
ceftazidime	J01D
hexamidine	R02A
cyfluthrin	P03B
loperamide oxide	A07D
apomorphine	G04B
propyphenazone excl. psycholeptics	N02B
ripasudil	S01E
gitoformate	C01A
acetarsol	P01C
diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B-meningococcus A + C	J07C
magnesium oxide	A06A
hexetidine	A01A
cannabinoids	N02B
artificial tears	S01X
other indifferent preparations	S01X
risankizumab	L04A
fondaparinux	B01A
ofloxacin	J01M
levamlodipine	C08C
hydroxyethylpromethazine	R06A
darunavir	J05A
cobicistat	J05A
axicabtagene ciloleucel	L01X
fludroxycortide	D07A
tree pollen allergenic extracts	V01A
carbamide	D02A
belinostat	L01X
chlorothiazide	C03A
tertatolol	C07A
mecillinam	J01C
cefradine	J01D
letosteine	R05C
electrolytes	B05B
daprodustat	B03X
tinidazole	P01A
propyphenazone with psycholeptics	N02B
sitafloxacin	J01M
hydrocortisone	S02C
antiinfectives	S02C
promestriene	G03C
iodine iofetamine (123I)	V09A
sodium oxybate	N01A
betamethasone	A07E
florbetapir (18F)	V09A
piperidolate	A03A
drospirenone	G03A
ethinylestradiol	G03A
retigabine	N03A
dantron	A06A
carbinoxamine	R06A
oxedrine	S01G
verapamil	C08D
metrizamide	V08A
sodium bicarbonate	B05X
insulin aspart	A10A
aprepitant	A04A
temocillin	J01C
hydroquinine	M09A
warfarin	B01A
cyclobarbital	N05C
ferrous chloride	B03A
meprotixol	R05D
nystatin	G01A
ciclonium	A03D
analgesics	A03D
telbivudine	J05A
sulfamethoxypyridazine	J01E
phenoxymethylpenicillin	J01C
anethole trithione	A16A
coblopasvir	J05A
potassium citrate	A12B
doxacurium chloride	M03A
phenylpropanolamine	R01B
dimethylaminopropionylphenothiazine	A03A
fenpiprane	A03A
teduglutide	A16A
magnesium orotate	A12C
cefbuperazone	J01D
sodium sulfate	A06A
mesulfen	P03A
chloropyramine	D04A
prednisolone	S01C
antiinfectives	S01C
parnaparin	B01A
clorindione	B01A
nicotinamide	A11H
econazole	G01A
balugrastim	L03A
sitagliptin	A10B
simvastatin	A10B
erythropoietin	B03X
desoxyribonuclease	B06A
cefalotin	J01D
clofenamide	C03B
vintafolide	L01C
dihydralazine	C02L
diuretics with other drugs	C02L
epinephrine	A01A
glutethimide	N05C
azithromycin	J01R
secnidazole	J01R
clomocycline	J01A
naproxen	M01A
esomeprazole	M01A
oxytetracycline	G01A
fluoroestradiol (18F)	V09I
isobromindione	M04A
cinepazet	C01D
alfa1 antitrypsin	B02A
calcium carbonate	A02A
sulbentine	D01A
pegvaliase	A16A
palivizumab	J06B
mepenzolate	A03A
gallium (67Ga) citrate	V09H
prednisolone	C05A
fibrinolysin	B01A
gemeprost	G02A
dextropropoxyphene with psycholeptics	N02A
algeldrate	A02A
lixisenatide	A10B
Iron in various other combinations	B03A
pectin	A07B
ascorbic acid	G01A
allopurinol	M04A
teriparatide	H05A
donepezil	N06D
memantine	N06D
canakinumab	L04A
scopolamine	S01F
temafloxacin	J01M
hydrogen peroxide	A01A
stannous fluoride	A01A
imidapril	C09A
dimethyl fumarate	L04A
ivacaftor	R07A
tezacaftor	R07A
prifinium bromide	A03A
ioxilan	V08A
xylometazoline	R01A
allobarbital	N05C
rifaximin	A07A
quifenadine	R06A
meningococcus A polysaccharides antigen conjugated	J07A
metoprolol	C07F
acetylsalicylic acid	C07F
metrizoic acid	V08A
methylpropylpropanediol dinitrate	C01D
sultamicillin	J01C
poly I:C	L03A
iocarmic acid	V08A
bevonium	A03C
psycholeptics	A03C
dibekacin	J01G
insulin glulisine	A10A
omoconazole	G01A
sulfathiourea	J01E
calcium carbonate	A12A
gadobutrol	V08C
ichtasol	D10B
senna glycosides	A06A
micronomicin	S01A
cocaine	S02D
hydrogen peroxide	D11A
bempedoic acid	C10B
ezetimibe	C10B
icatibant	B06A
noretynodrel	G03F
estrogen	G03F
pantoprazole	A02B
clarithromycin	A02B
stibophen	P02B
conjugated estrogens	G03C
bazedoxifene	G03C
risedronic acid	M05B
colecalciferol	M05B
asfotase alfa	A16A
prednisolone	V03A
promethazine	V03A
nimustine	L01A
fenspiride	R03D
enalapril	C09B
lercanidipine	C09B
crizanlizumab	B06A
tetanus toxoid with tetanus immunoglobulin	J07A
carbohydrates	B05B
ocrelizumab	L04A
Adrenergic	C01C
dopaminergic agents combinations	C01C
timolol	S01E
metamizole sodium excl. psycholeptics	N02B
basiliximab	L04A
adalimumab	L04A
diphtheria-rubella-tetanus	J07C
multivitamins	A11A
other minerals. combinations	A11A
oxymetholone	A14A
acetylsalicylic acid	N02B
aciclovir	D06B
erythrocytes	B05A
chromium (51Cr) chromate labelled cells	V09G
clebopride	A03F
taurolidine	B05C
phenylephrine	S01G
tolazamide	A10B
levonorgestrel	G03A
ethinylestradiol	G03A
dicloxacillin	J01C
amodiaquine	P01B
mercuric iodide	D08A
potassium chloride	B05X
valbenazine	N07X
rebamipide	A02B
papaverine	A03A
ranitidine bismuth citrate	A02B
sulfamoxole	J01E
trimethoprim	J01E
enprostil	A02B
lindane	P03A
bendamustine	L01A
clonidine	S01E
acetylsalicylic acid	B01A
acetylsalicylic acid	A01A
linagliptin	A10B
empagliflozin	A10B
phanquinone	P01A
aflibercept	L01X
calcipotriol	D05A
ergoloid mesylates	C04A
neostigmine	N07A
oxantel	P02C
entecavir	J05A
alogliptin	A10B
calcium chloride	B05X
cefoperazone	J01D
tofisopam	N05B
thioctic acid	A16A
teclozan	P01A
cefteram	J01D
midostaurin	L01E
theophylline excl. psycholeptics	R03D
nitrofural	P01C
topiramate	N03A
indium (111In) antiovariumcarcinoma antibody	V09I
acetarsol	A07A
dimefline	R07A
clonidine	N02C
ampicillin	J01C
cefuroxime	J01D
promethazine	R06A
fosfestrol	L02A
ibuprofen	M01A
loracarbef	J01D
dimeticone	P03A
clofibride	C10A
tolterodine	G04B
daclatasvir	J05A
beclabuvir	J05A
onasemnogene abeparvovec	M09A
carbon dioxide producing drugs	A06A
sapropterin	A16A
lactitol	A06A
doxycycline	A01A
various other anti-acne preparation combinations for topical use in ATC	D10A
ferrous gluconate	B03A
sulfasalazine	A07E
ceftobiprole medocaril	J01D
ertapenem	J01D
gemcitabine	L01B
lamivudine disoproxil	J05A
doravirine	J05A
ethulose	A06A
artesunate	P01B
pyronaridine	P01B
talastine	R06A
silymarin	A05B
rufloxacin	J01M
cimetidine	A02B
etynodiol	G03A
ethinylestradiol	G03A
teicoplanin	J01X
chondroitin sulfate-iron complex	B03A
adenosine	C01E
zoledronic acid	M05B
calcium dobesilate	C05B
benzododecinium	D09A
methadone excl. psycholeptics	N02A
insulin glargine	A10A
sodium fluoride (18F)	V09I
potassium salicylate	N02B
piprozolin	A05A
fosinopril	C09B
diuretics	C09B
pantethine	A11H
desogestrel	G03A
ethinylestradiol	G03A
naloxegol	A06A
prednisolone	S03C
antiinfectives	S03C
tetracaine	N01B
scopolamine	A04A
antithrombin III	B01A
biphenylol	D08A
sodium propionate	S01A
bortezomib	L01X
tretoquinol	R03C
macimorelin	V04C
regadenoson	C01E
natamycin	G01A
camylofin	A03D
analgesics	A03D
phenprocoumon	B01A
elbasvir	J05A
grazoprevir	J05A
propicillin	J01C
sodium phenylbutyrate	A16A
chlorphenamine	R06A
potassium hydrogentartrate	A12B
magnesium citrate	A12C
acetohydroxamic acid	G04B
diisopromine	A03A
magaldrate	A02A
desfesoterodine	G04B
mercury	D08A
hydrocortisone	S01C
antiinfectives	S01C
etynodiol	G03D
reviparin	B01A
tetracycline	J01R
oleandomycin	J01R
copper usnate	G01A
chlorhexidine	B05C
empegfilgrastim	L03A
darbepoetin alfa	B03X
epinephrine	S01E
drospirenone	G03A
estetrol	G03A
chlorpropamide	A10B
flomoxef	J01D
tetracaine	C05A
amyl nitrite	V03A
diloxanide	P01A
artemether	P01B
memantine	N06D
tirofiban	B01A
iobenzamic acid	V08A
ifosfamide	L01A
ioversol	V08A
azacitidine	L01B
cefazolin	J01D
famotidine	A02B
hyaluronic acid	S01K
linseed	A06A
paraoxon	S01E
estriol	G03C
coagulation factor IX	B02B
dextropropoxyphene excl. psycholeptics	N02A
fluciclovine (18F)	V09I
ornidazole	P01A
buserelin	L02A
cyclobutyrol	A05A
zofenopril	C09B
diuretics	C09B
tepotinib	L01E
tetracycline	S02A
tosufloxacin	J01M
carbasalate calcium combinations excl. psycholeptics	N02B
naphazoline	S01G
heparin	C05B
piperacillin	J01C
thenalidine	R06A
carboplatin	L01X
casopitant	A04A
atovaquone	P01A
diphtheria immunoglobulin	J06B
brimonidine	S01G
hemoglobin glutamer (bovine)	B05A
chlorobutanol	A04A
iodine iolopride (123I)	V09A
tixocortol	A07E
sulfadiazine	J01E
tetroxoprim	J01E
tretinoin	D10A
sodium chloride	B05X
insulin degludec	A10A
insulin aspart	A10A
piperacillin	J01C
beta-lactamase inhibitor	J01C
sulfadimidine	J01E
dienestrol	G03C
sulfamethoxazole	J01E
kanamycin	J01G
ammonium chloride	G04B
clindamycin	D10A
gadoteridol	V08C
ferrous amino acid complex	B03A
paramethasone	H02A
oprelvekin	L03A
isopropamide	A03C
psycholeptics	A03C
pentaerithrityl tetranitrate	C01D
iodamide	V08A
benzydamine	M02A
oxiconazole	G01A
timolol	C07A
dibutylsuccinate	P03B
fulvestrant	L02B
meclozine	R06A
omeprazole	A02B
clarithromycin	A02B
carmustine	L01A
atomoxetine	N06B
cyanocobalamin tannin complex	B03B
silicones	A03A
betibeglogene autotemcel	B06A
baricitinib	L04A
betaxolol	S01E
aminophenazone excl. psycholeptics	N02B
bivalirudin	B01A
clobazam	N05B
caffeine	D11A
Specific immunoglobulin combinations	J06B
vinburnine	C04A
aminolevulinic acid	L01X
lisinopril	C09B
amlodipine	C09B
temgicoluril	N06B
anakinra	L04A
sebelipase alfa	A16A
thiosulfate	V03A
cinchocaine	S01H
ranimustine	L01A
certolizumab pegol	L04A
spirapril	C09A
aluminium phosphate	A02A
prednisolone	A01A
cyclopenthiazide	C03A
potassium	C03A
fumaric acid derivatives	D05B
kaolin	A07B
carboprost	G02A
donepezil	N06D
Ginkgo folium	N06D
briakinumab	L04A
methylscopolamine	S01F
betamethasone	C05A
naphazoline	R01A
proxibarbal	N05C
darvadstrocel	L04A
parathyroid hormone	H05A
technetium (99mTc) gluceptate	V09C
roquinimex	L03A
pentostatin	L01X
ethacizine	C01B
mirogabalin	N02B
artemether	P01B
lumefantrine	P01B
technetium (99mTc) mebrofenin	V09D
clofenamide	C03B
potassium	C03B
alclometasone	S01B
iofendylate	V08A
ropeginterferon alfa-2b	L03A
mepixanox	R07A
hyoscyamine	A03B
nifuroxazide	A07A
pivampicillin	J01C
cefamandole	J01D
oxamniquine	P02B
solifenacin	G04B
minocycline	A01A
benzyl alcohol	P03A
ordinary salt combinations	A02A
salicylamide excl. psycholeptics	N02B
dibrompropamidine	S01A
sterculia	A06A
saccharated iron oxide	B03A
lamivudine	J05A
dolutegravir	J05A
artemisinin	P01B
piperaquine	P01B
mesalazine	A07E
belumosudil	L04A
bevonium	A03D
analgesics	A03D
doripenem	J01D
prednicarbate	D07A
polidocanol	C05B
iobenguane (123I)	V09I
tenecteplase	B01A
thonzylamine	R06A
other nasal preparation combinations in ATC	R01A
perindopril	C09B
diuretics	C09B
colistin	J01X
calcium acetate	V03A
desonide	D07A
chloroquine	P01B
quingestanol	G03A
ethinylestradiol	G03A
triclosan	D09A
defibrotide	B01A
insulin detemir	A10A
pyrazinamide	J04A
metformin	A10B
repaglinide	A10B
ditazole	B01A
cerium oxalate	A04A
grepafloxacin	J01M
perflenapent	V08D
ferric acetyl transferrin	B03A
sulfadimidine	J01E
trimethoprim	J01E
medroxyprogesterone	G03A
ethinylestradiol	G03A
mycophenolic acid	L04A
cloxacillin	J01C
oxetacaine	C05A
butylscopolamine	A03D
analgesics	A03D
gestodene	G03A
ethinylestradiol	G03A
chymopapain	M09A
tafenoquine	P01B
somatorelin	V04C
dextran	B05A
brimonidine	S01E
etilefrine	C01C
pyrethrum	P03A
pentetrazol	R07A
carbutamide	A10B
prednisolone	S01C
dipyridamole	B01A
mepacrine	P01A
raltegravir	J05A
glatiramer acetate	L03A
mandelic acid	B05C
benoxaprofen	M01A
zopiclone	N05C
flavoxate	G04B
drisapersen	M09A
ombitasvir	J05A
ritonavir	J05A
acefylline piperazine	R03D
calcium glucoheptonate	A12A
mometasone	R01A
methionine	V03A
cefpodoxime	J01D
eluxadoline	A07D
josamycin	J01F
phloroglucinol	A03A
macrogol	A06A
lysozyme	D06B
tacrolimus	L04A
propranolol	C07A
dibutylphthalate	P03B
selexipag	B01A
calcium silicate	A02A
chlormadinone	G03D
esmolol	C07A
lincomycin	J01F
susoctocog alfa	B02B
lonazolac	M01A
ciclobendazole	P02C
ximelagatran	B01A
metformin	A10B
nizofenone	N06B
procaine	S01H
dexamethasone	A01A
romiplostim	B02B
ephedrine	S01F
oxymetazoline	R01A
rilmenidine	C02A
finasteride	D11A
quinapril	C09A
norelgestromin	G03A
ethinylestradiol	G03A
acetrizoic acid	V08A
telmisartan	C09C
enfortumab vedotin	L01F
nitrous oxide	N01A
iron oxide	V08C
various other agents for local oral treatment in ATC	A01A
fenyramidol	M03B
salicylamide with psycholeptics	N02B
iohexol	V08A
collagen	D11A
sulfaperin	J01E
pseudoephedrine	R01B
nilutamide	L02B
vincamine	C04A
technetium (99mTc) bicisate	V09A
ethylestrenol	A14A
hydrochloric acid	B05X
cromoglicic acid	R01A
dilazep	C01D
mercaptopurine	L01B
agalsidase beta	A16A
idarucizumab	V03A
calcitriol	A11C
lorcaserin	A08A
exemestane	L02B
nimodipine	C08C
ornidazole	G01A
uridine triacetate	A16A
folic acid	B03B
levonorgestrel	G03F
estrogen	G03F
morphine	N02A
latanoprost	S01E
polmacoxib	M01A
griseofulvin	D01A
Caries prophylactic agent combinations	A01A
disulfiram	P03A
clemastine	R06A
sotagliflozin	A10B
atenolol	C07A
fibrinogen	B02B
trometamol	B05B
ciclonicate	C04A
hydrocortisone	R01A
miglitol	A10B
poly ICLC	L03A
androstanolone	A14A
guanfacine	C02A
ozanimod	L04A
allopurinol	M04A
levobunolol	S01E
serelaxin	C01D
hydroxocobalamin	B03B
isradipine	C08C
calcium lactate	A12A
velmanase alfa	A16A
fluoxymesterone	G03B
histamine phosphate	V04C
voxelotor	B06A
droperidol	N05A
uramustine	L01A
isoniazid	J04A
lidocaine	S01H
landiolol	C07A
raltitrexed	L01B
aztreonam	J01D
triclabendazole	P02B
zinc sulfate	A12C
rilonacept	L04A
difelikefalin	V03A
prolgolimab	L01F
clofezone	M01A
azilsartan medoxomil	C09C
delapril	C09A
ecallantide	B06A
protein hydrolysates	B05B
cyclopentolate	S01F
fluorometholone	C05A
methotrexate	L04A
liothyronine sodium	H03A
methyclothiazide	C03A
potassium	C03A
iodine (131I) norcholesterol	V09X
sulprostone	G02A
ethenzamide with psycholeptics	N02B
cascara	A06A
insulin (beef)	A10A
formoterol	R03A
beclometasone	R03A
rupatadine	R06A
benzethonium	R02A
feprazone	M01A
diphenadione	B01A
technetium (99mTc) gluconate	V09C
BCG vaccine	L03A
abaloparatide	H05A
ademetionine	A16A
iotalamic acid	V08A
albiglutide	A10B
clidinium	A03C
psycholeptics	A03C
albumin tannate	A07X
alprenolol	C07A
